,acc,f1,precision,recall,tnr,tpr,fpr,fnr
ColSampling_GB5_smf_col-0.6-fls_98=947.pickle,0.8856655290102389,0.8862478777589136,0.8817567567567568,0.8907849829351536,0.8805460750853242,0.8907849829351536,0.11945392491467577,0.10921501706484642
ColSampling_GB5_smf_col-0.8-fbs_51=1123.pickle,0.8771331058020477,0.8795986622073578,0.8622950819672132,0.8976109215017065,0.856655290102389,0.8976109215017065,0.14334470989761092,0.10238907849829351
ColSampling_GB5_smf_col-0.8-fls_159=1138.pickle,0.8890784982935154,0.8896434634974533,0.8851351351351351,0.89419795221843,0.8839590443686007,0.89419795221843,0.11604095563139932,0.10580204778156997
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.2-fbs_19=58.pickle,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.8805460750853242,0.11945392491467577,0.11945392491467577
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.2-fls_18=52.pickle,0.8805460750853242,0.8809523809523809,0.8779661016949153,0.8839590443686007,0.8771331058020477,0.8839590443686007,0.12286689419795221,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.4-fbs_28=112.pickle,0.8822525597269625,0.8824531516183987,0.8809523809523809,0.8839590443686007,0.8805460750853242,0.8839590443686007,0.11945392491467577,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.4-fls_17=97.pickle,0.878839590443686,0.8786324786324786,0.8801369863013698,0.8771331058020477,0.8805460750853242,0.8771331058020477,0.11945392491467577,0.12286689419795221
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.6-fbs_97=160.pickle,0.8805460750853242,0.8817567567567568,0.8729096989966555,0.8907849829351536,0.8703071672354948,0.8907849829351536,0.1296928327645051,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.6-fls_18=133.pickle,0.8873720136518771,0.886986301369863,0.8900343642611683,0.8839590443686007,0.8907849829351536,0.8839590443686007,0.10921501706484642,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.8-fbs_145=215.pickle,0.8822525597269625,0.8832487309644671,0.8758389261744967,0.8907849829351536,0.8737201365187713,0.8907849829351536,0.12627986348122866,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB3_smf_col-0.8-fls_18=152.pickle,0.8856655290102389,0.8858603066439523,0.8843537414965986,0.8873720136518771,0.8839590443686007,0.8873720136518771,0.11604095563139932,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB3_smf_row-0.2-fbs_24=85.pickle,0.8532423208191127,0.8585526315789473,0.8285714285714286,0.8907849829351536,0.8156996587030717,0.8907849829351536,0.18430034129692832,0.10921501706484642
Agg_GB0_1_257&ColSampling_GB3_smf_row-0.4-fbs_25=133.pickle,0.8703071672354948,0.8745874587458745,0.8466453674121406,0.9044368600682594,0.8361774744027304,0.9044368600682594,0.16382252559726962,0.09556313993174062
Agg_GB0_1_257&ColSampling_GB3_smf_row-0.6-fbs_31=194.pickle,0.8805460750853242,0.8825503355704698,0.8679867986798679,0.8976109215017065,0.863481228668942,0.8976109215017065,0.13651877133105803,0.10238907849829351
Agg_GB0_1_257&ColSampling_GB3_smf_row-0.8-fbs_34=225.pickle,0.878839590443686,0.8822553897180763,0.8580645161290322,0.9078498293515358,0.8498293515358362,0.9078498293515358,0.15017064846416384,0.09215017064846416
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.2-fbs_8=53.pickle,0.8805460750853242,0.8809523809523809,0.8779661016949153,0.8839590443686007,0.8771331058020477,0.8839590443686007,0.12286689419795221,0.11604095563139932
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.2-fls_8=54.pickle,0.8822525597269625,0.8828522920203735,0.8783783783783784,0.8873720136518771,0.8771331058020477,0.8873720136518771,0.12286689419795221,0.11262798634812286
Agg_GB0_1_257&ColSampling_GB4_smf_col-0.4-fbs_19=107.pickle,0.8822525597269625,0.8820512820512821,0.8835616438356164,0.8805460750853242,0.8839590443686007,0.8805460750853242,0.11604095563139932,0.11945392491467577
